viewer_uid,age,sex,age_class
14416,39,female,0
5190,12,male,1
8887,23,male,0
55417,18,female,3
8980,48,female,3
13063,21,male,0
45997,35,female,2
34711,41,female,2
44321,51,male,0
5451,14,female,0
8527,46,female,1
30865,34,male,1
9863,59,male,3
27,54,male,0
11129,55,female,3
4311,42,male,3
33430,10,male,1
14682,46,male,1
44958,36,male,3
93,49,male,0
31001,36,male,3
41940,44,female,2
2888,34,male,0
30260,30,female,2
7482,23,male,0
5839,60,female,1
51158,27,female,2
34001,41,female,0
51444,32,female,0
1347,27,female,3
50450,35,male,3
49604,27,male,0
1082,21,female,0
3693,30,male,3
53411,10,female,3
21812,14,male,1
38837,51,female,1
51427,40,male,0
24597,58,male,0
12424,13,female,2
53488,49,male,3
49719,37,female,1
47399,40,male,3
2426,48,female,3
41025,14,female,3
57916,59,female,0
43957,39,female,3
42233,44,male,3
58175,54,female,3
39577,28,female,2
17690,57,male,2
25668,14,male,3
41846,25,female,3
24588,54,female,2
34999,34,male,3
34812,18,female,0
35780,11,female,2
53334,53,female,3
55921,30,male,3
31869,55,male,3
41132,15,male,3
42834,33,male,3
3283,55,female,3
15787,49,male,0
745,34,female,0
40124,25,male,0
16250,14,male,3
37331,13,female,2
15159,29,male,3
49019,49,female,2
35690,21,female,3
41469,29,female,2
26451,51,female,1
7875,32,male,3
37416,29,female,0
56534,26,female,1
7448,17,male,0
4576,12,male,3
49947,33,male,0
32813,48,female,1
23806,48,male,1
53873,10,male,2
56727,51,female,1
45376,38,female,0
6859,34,male,1
16285,38,female,3
44832,29,male,3
693,56,male,3
5744,49,female,1
56624,54,female,0
4150,47,male,3
8636,35,male,1
35480,38,male,1
28474,24,male,2
8343,47,male,3
13518,51,female,0
45732,54,male,3
10493,46,male,2
34216,14,female,3
21772,48,male,3
32872,23,female,3
50098,19,male,0
3790,25,male,3
34464,50,female,3
51098,10,male,3
36182,57,male,3
36321,59,female,0
26110,52,female,1
7355,12,male,3
34386,26,male,2
32607,45,male,3
3358,46,female,2
42061,46,female,2
31472,48,female,1
39793,18,female,0
44100,46,male,1
8072,33,male,3
5802,18,female,3
23790,17,female,1
9271,25,male,3
39704,42,male,1
20018,36,female,3
30359,15,male,1
10555,21,male,3
25669,11,female,3
37266,27,male,2
16134,31,male,3
36358,38,female,0
3207,39,male,1
13984,60,male,2
44045,60,male,0
56035,31,female,1
18105,29,male,1
8871,38,male,1
59387,12,female,3
54424,34,female,1
55166,45,male,0
56698,39,male,2
32168,47,female,3
50867,18,female,3
25571,23,male,0
35265,31,male,3
58166,25,male,0
43609,52,female,2
42630,23,male,3
30983,17,male,2
44949,37,female,3
48596,32,male,2
57044,43,male,0
48521,11,male,2
25575,36,female,2
31466,21,female,0
41495,38,female,2
38409,59,female,0
56350,41,female,3
28248,55,female,1
48772,59,male,3
51362,55,male,2
23682,18,female,3
39694,57,female,3
39424,34,female,0
34037,37,female,1
12036,24,male,0
28177,14,male,1
6876,54,male,3
23282,46,female,3
53391,18,male,0
12643,22,female,0
48501,48,female,0
21028,27,female,3
58488,33,male,3
29132,24,male,0
35109,44,male,0
36092,20,male,3
32953,25,male,0
21220,57,female,3
13192,38,male,1
58318,53,male,0
33944,19,female,1
12148,29,male,3
44636,34,male,1
36529,20,male,0
29061,42,male,0
21582,25,male,3
47992,46,male,1
46917,41,female,1
7005,29,female,1
13715,59,male,3
48281,12,female,0
16575,41,female,3
51032,52,female,1
14482,35,female,2
36563,10,male,1
16420,21,female,3
55363,23,female,2
47084,54,male,1
55714,15,female,0
25872,42,male,2
16218,44,female,1
1239,31,male,3
43151,50,male,1
10359,57,male,1
46027,24,female,3
53718,15,male,1
2471,29,female,1
24393,58,female,0
9049,19,female,3
16491,59,male,2
56211,54,female,3
56073,58,male,0
14326,54,female,1
12222,46,male,2
44767,51,male,0
20635,37,female,1
36758,47,female,3
13131,36,male,3
31201,29,male,3
47603,12,male,1
36474,54,male,0
40443,56,male,1
5900,15,male,2
39262,20,male,0
32590,14,female,2
4029,32,male,3
16449,49,male,3
23458,58,female,3
43675,26,male,0
35002,39,female,3
39239,33,female,3
42086,14,female,1
10659,43,female,0
54096,46,male,2
12964,50,female,3
9442,25,male,2
41761,57,female,1
21954,47,male,3
41164,15,female,0
32138,17,female,3
37953,29,female,3
9502,39,female,3
45310,22,female,0
26803,10,male,1
48766,47,female,2
4837,28,female,2
46578,25,male,1
35635,26,male,0
50274,58,female,1
43070,15,female,3
51115,21,female,2
25120,52,female,2
53399,45,male,0
34945,54,male,3
42280,41,male,2
11699,40,male,3
24946,59,female,0
19586,37,male,2
30485,12,female,0
25518,41,female,2
2241,36,female,2
35392,47,female,1
39912,25,male,3
17019,44,female,1
54600,44,male,2
5910,36,female,0
16227,17,male,1
29268,13,female,3
44988,33,male,0
43621,29,female,3
9952,19,female,1
1267,43,female,1
30612,51,male,3
52393,60,female,3
52810,12,female,3
5924,27,female,1
29235,43,female,0
46968,60,male,2
39910,40,male,2
49778,13,female,3
47076,29,female,1
59178,58,female,3
55980,16,female,2
42784,56,female,1
34780,28,female,3
59798,36,male,2
26422,30,female,2
36361,54,male,1
42231,19,female,1
7619,42,female,2
56555,28,female,0
48576,19,female,0
34293,24,female,3
55075,52,male,0
44004,31,female,2
28620,46,male,2
46018,41,female,1
55749,18,female,1
20612,14,male,2
28785,40,male,3
40398,56,female,0
28664,28,male,1
5065,30,female,3
18345,30,female,3
55132,19,female,0
13742,14,female,2
32938,50,male,3
48414,35,female,3
33043,44,female,3
32899,53,female,3
48113,60,male,0
51312,39,male,3
11572,60,male,1
45325,52,female,3
54095,58,female,0
3296,42,female,3
307,28,female,3
40153,12,female,0
45949,44,male,0
17784,50,male,3
13332,12,female,2
8984,54,female,3
11543,51,female,0
987,58,male,3
45855,24,female,0
28241,60,female,0
52044,18,male,3
55826,31,male,3
39385,55,male,2
53999,18,male,3
39840,36,female,3
46950,57,male,0
43267,48,male,2
20811,42,female,0
27307,30,female,2
46335,20,male,3
35657,38,male,3
33376,31,female,3
6891,22,female,0
9844,22,male,0
40274,34,female,3
11189,30,female,0
55505,42,male,0
10471,34,female,1
12234,25,female,0
45048,11,female,3
23241,35,female,3
12271,33,female,3
57219,16,female,3
7210,53,female,2
38783,20,male,3
24219,48,female,2
53004,17,female,2
35687,24,male,0
12606,45,female,0
48119,10,male,2
23087,21,male,3
22177,32,male,3
13978,33,male,1
3150,53,male,3
40533,42,male,3
27062,59,male,2
21909,41,male,0
43539,59,female,1
37469,26,male,2
8824,30,female,3
43545,46,male,2
35091,59,male,0
33395,26,male,3
16847,47,male,3
36988,60,female,0
302,13,male,2
27431,47,male,3
7648,10,female,1
1778,28,female,0
24795,48,male,3
21351,22,female,1
14839,38,female,2
34882,41,male,0
17186,26,female,3
40868,20,male,3
27625,18,male,1
12069,43,female,1
55601,15,male,1
11098,52,female,1
48689,33,female,2
30170,27,female,3
43119,35,male,2
56301,48,male,2
45060,20,female,3
48143,15,male,3
59294,59,female,2
18047,26,male,0
12169,23,female,1
17359,10,female,3
10504,29,female,3
28332,14,female,3
34550,46,male,1
620,12,male,2
16910,20,female,2
40592,45,female,3
28366,59,male,1
35960,45,female,2
11917,40,male,0
21046,59,female,3
13535,11,female,0
55294,31,female,3
25742,34,female,3
39427,42,male,1
26100,46,female,1
27010,37,female,1
46602,14,female,2
29131,38,female,3
29575,20,female,3
51247,53,female,2
14619,21,female,3
39535,22,female,3
42395,38,female,1
23582,43,male,3
23382,27,female,3
14290,33,male,1
27523,30,male,2
27316,47,male,3
43162,18,male,3
25025,25,male,3
44419,46,male,0
344,53,male,3
53104,11,male,3
27911,30,female,1
58474,34,female,2
46842,26,male,0
58372,39,male,1
43279,15,female,0
43235,44,female,0
14717,21,male,0
59879,55,male,3
31738,30,female,3
57859,57,male,3
14330,59,male,3
48796,34,male,2
52418,56,female,3
38823,26,female,3
32637,18,female,0
18591,50,male,1
47487,15,male,0
30014,56,female,3
27204,40,female,0
25984,13,female,0
1719,54,male,0
48030,35,female,2
8873,23,female,1
41701,18,female,0
45589,49,female,2
35622,26,male,2
30284,19,female,2
31709,46,male,0
19902,49,female,1
1566,29,female,2
36056,52,female,0
24294,29,female,3
37499,31,male,3
45511,32,male,0
39897,40,male,3
22180,11,female,1
48751,18,male,3
7743,36,female,3
52868,35,male,2
1687,25,male,1
12712,22,female,1
59685,39,female,0
41764,34,female,1
4947,46,female,0
13168,47,female,3
32704,27,male,1
18449,15,female,0
22503,48,female,0
45279,60,male,0
32434,13,female,1
8925,20,male,0
44940,11,male,3
32894,15,female,3
38936,12,male,1
15083,55,male,3
15933,31,female,3
44324,60,female,0
18474,30,male,2
51356,47,female,1
20150,18,male,0
44502,29,female,3
56783,37,female,2
8640,48,female,3
3778,16,male,1
3497,37,male,3
32463,26,female,2
44525,48,female,0
13928,49,female,3
27438,36,female,3
40943,22,male,1
52910,16,male,0
13340,18,male,3
912,29,female,3
46454,26,female,0
42281,34,male,2
15120,58,female,3
4797,58,male,3
57263,27,female,0
52894,17,female,0
38402,16,male,0
48421,19,female,2
14764,59,male,0
56309,26,male,3
4260,37,male,2
18370,36,female,0
15599,43,female,0
40291,35,male,3
51377,35,female,0
27620,44,male,2
13346,55,female,0
50667,11,female,2
51714,49,male,0
11559,44,male,2
35419,23,female,3
43027,58,female,2
28349,59,female,1
28701,25,female,0
29689,55,male,0
4643,15,male,2
10129,35,female,3
49792,52,female,3
3516,53,female,2
33296,17,male,2
55927,33,female,2
15988,55,female,3
5388,49,female,3
20799,13,male,3
43417,20,female,3
46637,43,male,1
47160,15,male,1
57783,27,female,3
27012,24,female,1
51446,58,male,1
19343,38,female,3
21480,28,female,1
45841,20,female,0
42051,49,male,1
35836,23,female,2
56224,21,female,2
17746,13,female,2
8005,12,male,1
31554,27,female,3
56353,19,female,3
21325,10,female,3
37538,26,female,3
47906,30,male,1
25341,47,female,3
54448,40,male,2
18230,46,male,3
4729,48,male,3
24648,45,female,3
14930,39,female,2
6313,46,female,1
18761,27,female,3
45240,29,male,3
9675,31,female,2
21951,21,male,3
59535,57,male,2
2661,56,male,3
16222,22,female,3
17792,30,female,3
14728,19,female,2
41459,45,female,2
39193,17,female,2
32125,12,female,0
37516,19,female,3
34104,22,male,1
940,60,female,2
4657,44,female,3
51633,38,female,3
1151,29,female,3
32633,45,female,2
14906,52,male,2
10422,58,female,3
32800,13,female,2
40115,60,female,2
45007,26,male,2
31572,42,male,2
9408,29,male,3
51843,25,female,2
9204,16,male,1
24790,42,female,0
26612,23,female,1
31124,42,male,0
57230,42,male,0
43163,36,female,1
3426,53,male,3
16441,39,male,0
9027,45,male,3
50710,39,female,0
38587,43,male,0
20414,36,female,2
22726,11,female,1
53057,24,female,3
37849,37,female,1
26964,33,female,0
41740,30,female,2
43515,15,male,0
20862,35,female,0
58993,59,female,0
52482,17,female,3
42885,30,male,2
40116,52,male,3
32419,41,male,1
52100,33,male,2
32015,25,female,0
51229,23,male,3
5486,26,female,1
38925,12,female,3
6714,24,female,0
30657,44,female,3
23607,30,male,3
8126,36,female,3
40412,28,female,3
43720,10,female,0
10932,30,female,3
36282,57,female,2
52181,58,male,1
52684,58,female,2
29116,46,male,3
22521,46,female,2
37436,57,male,1
245,60,male,3
42105,19,female,0
33709,49,male,0
6477,23,female,2
24650,38,male,0
50353,36,female,1
40076,42,male,3
21082,33,female,1
5330,23,female,2
9492,55,male,3
21798,23,male,1
44192,13,male,2
58210,55,male,2
14791,57,male,3
46305,29,female,0
27361,33,male,0
5363,29,male,0
57971,40,male,0
59653,60,male,0
15175,56,female,3
26190,31,female,1
33057,27,male,0
58554,17,female,3
26034,10,male,1
22919,16,male,2
36283,51,female,3
27069,51,female,3
15444,53,male,0
19435,14,female,3
12457,42,male,0
59327,35,female,1
20119,42,male,0
13198,10,female,1
15896,32,male,3
59184,57,male,3
46588,55,female,0
49713,39,female,1
32945,11,male,3
16161,57,female,1
59933,33,male,2
3729,60,male,2
30266,10,male,1
5856,45,female,2
11351,17,male,0
4600,39,male,0
26253,51,male,3
46710,59,male,0
7046,55,male,3
7998,25,female,0
51961,41,female,1
12909,44,female,3
13140,52,female,0
50645,48,male,3
7553,45,male,3
23256,35,male,3
27645,38,male,3
46974,29,female,2
11150,43,male,3
21806,10,male,1
36488,26,female,0
8750,55,male,2
56546,40,male,3
36836,56,male,0
38229,57,female,2
14070,26,female,3
51289,33,male,2
45010,39,male,3
13341,48,male,1
40047,41,male,2
48165,17,male,3
4417,26,male,1
507,29,female,0
18245,43,male,2
34278,36,female,1
17465,31,female,2
13403,60,male,3
2447,60,male,0
366,46,female,1
29714,27,female,1
58544,44,male,2
36863,30,male,0
28776,47,male,3
43952,46,male,1
33514,31,female,3
7655,16,male,0
8490,48,female,2
42120,26,male,1
32178,54,female,1
29721,12,male,3
55991,27,female,3
23287,45,female,3
508,57,female,3
23892,36,female,2
45081,43,male,2
27784,35,male,0
11614,23,female,3
29281,18,female,0
46442,35,male,0
24303,36,female,2
57691,38,female,1
9266,37,female,3
10304,12,female,1
12665,37,female,1
37907,20,female,3
42081,47,female,0
50908,42,female,3
45512,40,male,1
31966,35,male,1
53341,48,male,1
9892,15,male,3
39753,18,female,3
1992,58,female,0
31383,31,male,2
29199,34,male,3
13801,49,male,3
